"filename", "language", "pip requirements", "Properties", "Python", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "SCSS", "Vue", "SVG", "HTML", "comment", "blank", "total"
"c:\Users\21756\Desktop\krl\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\21756\Desktop\krl\docs\report.md", "Markdown", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 166
"c:\Users\21756\Desktop\krl\examples\frontend\.env", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Users\21756\Desktop\krl\examples\frontend\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\21756\Desktop\krl\examples\frontend\.prettierrc.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\21756\Desktop\krl\examples\frontend\README.md", "Markdown", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 46
"c:\Users\21756\Desktop\krl\examples\frontend\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\Users\21756\Desktop\krl\examples\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\21756\Desktop\krl\examples\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 10690, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10691
"c:\Users\21756\Desktop\krl\examples\frontend\package.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\21756\Desktop\krl\examples\frontend\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 16, 90
"c:\Users\21756\Desktop\krl\examples\frontend\src\api\login\index.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 3, 30
